date,line_id,line_name,shift_id,shift_name,planned_minutes,downtime_minutes,run_time_minutes,downtime_reason_category,downtime_reason_subcategory,downtime_cost_usd,ideal_cycle_time_sec,units_planned,units_produced,units_good,units_defective
2025-01-01,L1,Line 1 - CNC Machining,S1,Morning,480,31.5,448.5,Operator,Operator Availability / Training,446.25,45,640,592,584,8
2025-01-01,L1,Line 1 - CNC Machining,S2,Afternoon,480,68.0,412.0,Unplanned Maintenance,Unscheduled Repair,963.33,45,640,546,535,11
2025-01-01,L1,Line 1 - CNC Machining,S3,Night,480,20.3,459.7,Operator,Operator Availability / Training,287.58,45,640,571,564,7
2025-01-01,L2,Line 2 - Precision Assembly,S1,Morning,480,45.7,434.3,Material Issue,Material Shortage,472.23,30,960,691,685,6
2025-01-01,L2,Line 2 - Precision Assembly,S2,Afternoon,480,53.2,426.8,Equipment Failure,Mechanical Breakdown,549.73,30,960,695,684,11
2025-01-01,L2,Line 2 - Precision Assembly,S3,Night,480,41.6,438.4,Changeover,Product Setup / Changeover,429.87,30,960,760,752,8
2025-01-01,L3,Line 3 - Surface Treatment,S1,Morning,480,64.0,416.0,Equipment Failure,Mechanical Breakdown,757.33,60,480,367,360,7
2025-01-01,L3,Line 3 - Surface Treatment,S2,Afternoon,480,72.8,407.2,Changeover,Product Setup / Changeover,861.47,60,480,386,380,6
2025-01-01,L3,Line 3 - Surface Treatment,S3,Night,480,28.4,451.6,Material Issue,Material Shortage,336.07,60,480,411,400,11
2025-01-01,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,91.0,389.0,Equipment Failure,Mechanical Breakdown,728.0,20,1440,1042,1033,9
2025-01-01,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,53.5,426.5,Equipment Failure,Electrical Fault,428.0,20,1440,1232,1220,12
2025-01-01,L4,Line 4 - Final Inspection & Packaging,S3,Night,480,54.7,425.3,Planned Maintenance,Scheduled Preventive Maintenance,437.6,20,1440,1096,1085,11
2025-01-02,L1,Line 1 - CNC Machining,S1,Morning,480,110.6,369.4,Planned Maintenance,Scheduled Preventive Maintenance,1566.83,45,640,470,464,6
2025-01-02,L1,Line 1 - CNC Machining,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,45,640,564,560,4
2025-01-02,L1,Line 1 - CNC Machining,S3,Night,480,92.5,387.5,Equipment Failure,Electrical Fault,1310.42,45,640,501,495,6
2025-01-02,L2,Line 2 - Precision Assembly,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,30,960,859,848,11
2025-01-02,L2,Line 2 - Precision Assembly,S2,Afternoon,480,33.6,446.4,Material Issue,Material Quality Reject,347.2,30,960,885,876,9
2025-01-02,L2,Line 2 - Precision Assembly,S3,Night,480,68.5,411.5,Changeover,Product Setup / Changeover,707.83,30,960,744,737,7
2025-01-02,L3,Line 3 - Surface Treatment,S1,Morning,480,41.7,438.3,Changeover,Product Setup / Changeover,493.45,60,480,403,390,13
2025-01-02,L3,Line 3 - Surface Treatment,S2,Afternoon,480,66.9,413.1,Equipment Failure,Mechanical Breakdown,791.65,60,480,351,344,7
2025-01-02,L3,Line 3 - Surface Treatment,S3,Night,480,108.3,371.7,Planned Maintenance,Scheduled Preventive Maintenance,1281.55,60,480,341,334,7
2025-01-02,L4,Line 4 - Final Inspection & Packaging,S1,Morning,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1340,1325,15
2025-01-02,L4,Line 4 - Final Inspection & Packaging,S2,Afternoon,480,0.0,480.0,No Downtime,No Downtime,0.0,20,1440,1311,1303,8
